Ga0068513	East Sea	
Ga0070750	Delaware River/Bay	Unrestricted
Ga0070751	Delaware River/Bay	Unrestricted
Ga0070754	Delaware River/Bay	Unrestricted
Ga0074647	Etoliko Lagoon	
Ga0075481	Delaware River/Bay	Unrestricted
Ga0099846	Chesapeake Bay	Unrestricted
Ga0099848	Chesapeake Bay	Unrestricted
Ga0114973	Lake Montjoie	Unrestricted
Ga0136572	Deep Lake	Unrestricted
Ga0136587	Rauer Islands	Unrestricted
Ga0181387	San Pedro Channel	Restricted
Ga0181393	San Pedro Channel	Restricted
Ga0181398	San Pedro Channel	Restricted
Ga0181399	San Pedro Channel	Restricted
Ga0181419	San Pedro Channel	Restricted
Ga0181425	San Pedro Channel	Restricted
Ga0209555	Saanich Inlet	Unrestricted
Ga0222649	Ace Lake	Unrestricted
Ga0260593	Beaufort Sea	
Ga0306872	Rauer Islands	Unrestricted
Ga0369902	Goby Lake	
Ga0374944	Ace Lake	
Ga0400243	Shield Lake	Unrestricted
Ga0453792	San Francisco Bay	Restricted
Ga0494229	California Bight	Restricted
Ga0136655	Chesapeake Bay	Unrestricted
Ga0209232	Pacific	Unrestricted
Ga0335036	Lake Mendota	Unrestricted
Ga0348336	Delaware River/Bay	Unrestricted
Ga0326498	Yellow Sea	
Ga0222714	San Francisco Bay	Restricted
Ga0133913	Canada Lakes	Unrestricted
Ga0181420	San Pedro Channel	Restricted
Ga0233432	Saanich Inlet	Restricted
Ga0436875	Lake Baikal	
Ga0208898	Delaware River/Bay	Unrestricted
Ga0209666	Saanich Inlet	Unrestricted
