name	short	accession	clade	fragment
Sputnik	Sputnik	EU606015.1	Sputnik	
Sputnik 2	Sputnik2	JN603369.1	Sputnik	
Sputnik 3	Sputnik3	JN603370.1	Sputnik	
Sputnik Rio Negro	Sputnik_Rio_Negro	KJ183141.1	Sputnik	fragment
Zamilon	Zamilon	HG531932.1	Sputnik	
Mavirus_Spezl	Mavirus_Spezl	HQ712116.1	Mavirus	
Mavirus_endo	Mavirus_endo	KU052222.1	Mavirus	
Ace Lake Mavirus	ALM	KC556923.1	Mavirus	
Organic Lake virophage	OLV	HQ704801.1	YSL	
Yellowstone Lake virophage YSLV1	YSLV1	KC556924.1	YSL	
Yellowstone Lake virophage YSLV2	YSLV2	KC556925.1	YSL	
Yellowstone Lake virophage YSLV3	YSLV3	KC556926.1	YSL	
Yellowstone Lake virophage YSLV4	YSLV4	KC556922.1	YSL	
Yellowstone Lake virophage YSLV5	YSLV5	KM502589.1	YSL	
Yellowstone Lake virophage YSLV6	YSLV6	KM502590.1	YSL	
Yellowstone Lake virophage YSLV7	YSLV7	KM502591.1	YSL	
Dishui Lake virophage	DSLV	KT894027.1	YSL	
Qinghai Lake virophage	QLV	KJ854379.1	YSL	
Rumen virophage 21000060	RVP-21000060	AUXO017923253.1	RVP	unannotated
Cryoconite virophage	CryV	LDNN01000025.1		partial
Miers Valley soil virophage	MVSV	CZR14427.1		fragment
Phaeocystis globosa virus virophage 16T	PgVV-16T	KC662250.1	PgVV	
Pleurochrysis sp. Polinton-like virus isolate ALTPLV2	ALTPLV2	KY346836.1	PleuroPLV	
Pleurochrysis sp. Polinton-like virus isolate ALTPLV4	ALTPLV4	KY346838.1	PleuroPLV	fragment
Chrysochromulina parva virophage Curly	Curly	MH919296.1	CpVV	
Chrysochromulina parva virophage Larry	Larry	MH920636.1	CpVV	
Chrysochromulina parva virophage Moe	Moe	MH919297.1	CpVV	
Pleurochrysis sp. Polinton-like virus isolate PleuroPLV	PleuroPLV	KY203338.1	PleuroPLV	
Tetraselmis viridis virus N1	TVV_N1	JF974319.1	TVV	
Tetraselmis viridis virus S1	TVV_S1	HQ332143.1	TVV	
Chrysochromulina ericina virus CeV-01B	CeV-01B	KT820662.1	Mesomimi	
Chrysochromulina parva virus BQ2	CpV-BQ2	MH918795.1	Mesomimi	
Pleurochrysis sp. endemic virus 1a	PsEV1a	KY131436.1	Endemic	
Pleurochrysis sp. endemic virus 1b	PsEV1b	KY203336.1	Endemic	
Pleurochrysis sp. endemic virus 2	PsEV2	KY346835.1	Endemic	
Tetraselmis virus 1	TetV	KY322437.1	Mesomimi	
Phaeocystis globosa virus 16T	PgV-16T	KC662249.1	Mesomimi	
